,Statement Description,topics,label,1,2,3,4,5,6,7,8,
564,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",networks other than the internet,4,0,0,0,1,0,0,0,0,
565,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",protocols other than tcp ip for system interconnection,4,0,0,0,1,0,0,0,0,
566,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",characteristics of different implementations,4,0,0,0,1,0,0,0,0,
567,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",potential vulnerabilities of different systems,4,0,0,0,1,0,0,0,0,
568,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",similarities and differences between architectures,4,0,0,0,1,0,0,0,0,
569,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",design choices in distributed systems,4,0,0,0,1,0,0,0,0,
570,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",advantages and disadvantages of various architectures for specific use cases,4,0,0,0,1,0,0,0,0,
571,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",security perspectives of different architectures,4,0,0,0,1,0,0,0,0,
572,"this knowledge unit introduces the general concepts  of distributed systems and how they are connected  together. the internet is not the only network and  tcp/ip is not the only protocol for system interconnection. each implementation has specific  characteristics and different potential  vulnerabilities. the focus of the curriculum should  be on similarities, differences, and why design  choices are made. each architecture has advantages  and disadvantages for particular use cases and each  has particular vulnerabilities and strengths from a  security perspective. one cannot assume that a  mitigation strategy for the internet will be  appropriate for a supercomputer infrastructure.  ",mitigation strategies for different infrastructures,4,0,0,0,1,0,0,0,0,
573,"this topic should start with the idea of a process in  and operating system and then introduce the various  architectures for running processes and enabling  their communication. symmetric multiprocessing  and shared memory, network based with an  interprocess communication model. ",process in operating system,4,0,0,0,1,0,0,0,0,
574,"this topic should start with the idea of a process in  and operating system and then introduce the various  architectures for running processes and enabling  their communication. symmetric multiprocessing  and shared memory, network based with an  interprocess communication model. ",architectures for running processes,4,0,0,0,1,0,0,0,0,
575,"this topic should start with the idea of a process in  and operating system and then introduce the various  architectures for running processes and enabling  their communication. symmetric multiprocessing  and shared memory, network based with an  interprocess communication model. ",enabling process communication,4,0,0,0,1,0,0,0,0,
576,"this topic should start with the idea of a process in  and operating system and then introduce the various  architectures for running processes and enabling  their communication. symmetric multiprocessing  and shared memory, network based with an  interprocess communication model. ",symmetric multiprocessing,4,0,0,0,1,0,0,0,0,
577,"this topic should start with the idea of a process in  and operating system and then introduce the various  architectures for running processes and enabling  their communication. symmetric multiprocessing  and shared memory, network based with an  interprocess communication model. ",shared memory architecture,4,0,0,0,1,0,0,0,0,
578,"this topic should start with the idea of a process in  and operating system and then introduce the various  architectures for running processes and enabling  their communication. symmetric multiprocessing  and shared memory, network based with an  interprocess communication model. ",network based architecture,4,0,0,0,1,0,0,0,0,
579,"this topic should start with the idea of a process in  and operating system and then introduce the various  architectures for running processes and enabling  their communication. symmetric multiprocessing  and shared memory, network based with an  interprocess communication model. ",interprocess communication model,4,0,0,0,1,0,0,0,0,
580,this topic covers the http/https protocol and  demonstrates how it is an example of a distributed  processing standard. ,http https protocol,4,0,0,0,1,0,0,0,0,
581,this topic covers the http/https protocol and  demonstrates how it is an example of a distributed  processing standard. ,distributed processing standard,4,0,0,0,1,0,0,0,0,
582,this topic covers the evolution of the internet as a  distributed processing platform. learners should be  clear as to why the world-wide-web and the internet  are not equivalent. ,evolution of the internet,4,0,0,0,1,0,0,0,0,
583,this topic covers the evolution of the internet as a  distributed processing platform. learners should be  clear as to why the world-wide-web and the internet  are not equivalent. ,distributed processing platform,4,0,0,0,1,0,0,0,0,
584,this topic covers the evolution of the internet as a  distributed processing platform. learners should be  clear as to why the world-wide-web and the internet  are not equivalent. ,world wide web vs internet distinction,4,0,0,0,1,0,0,0,0,
585,this topic covers the 7 layer osi model along with  the 5 layer internet model and compares them as an  example of encapsulation and layering to enable  services that build on each other ,osi model layers,4,0,0,0,1,0,0,0,0,
586,this topic covers the 7 layer osi model along with  the 5 layer internet model and compares them as an  example of encapsulation and layering to enable  services that build on each other ,internet model layers,4,0,0,0,1,0,0,0,0,
587,this topic covers the 7 layer osi model along with  the 5 layer internet model and compares them as an  example of encapsulation and layering to enable  services that build on each other ,comparison between osi and internet models,4,0,0,0,1,0,0,0,0,
588,this topic covers the 7 layer osi model along with  the 5 layer internet model and compares them as an  example of encapsulation and layering to enable  services that build on each other ,encapsulation process,4,0,0,0,1,0,0,0,0,
589,this topic covers the 7 layer osi model along with  the 5 layer internet model and compares them as an  example of encapsulation and layering to enable  services that build on each other ,layering concepts,4,0,0,0,1,0,0,0,0,
590,this topic covers the 7 layer osi model along with  the 5 layer internet model and compares them as an  example of encapsulation and layering to enable  services that build on each other ,services provided by each layer,4,0,0,0,1,0,0,0,0,
591,this topic introduces hpc and use cases that  distinguish hpc from the standard internet. ,introduction to high performance computing (hpc),4,0,0,0,1,0,0,0,0,
592,this topic introduces hpc and use cases that  distinguish hpc from the standard internet. ,distinguishing hpc from standard internet,4,0,0,0,1,0,0,0,0,
593,this topic introduces hpc and use cases that  distinguish hpc from the standard internet. ,use cases of hpc,4,0,0,0,1,0,0,0,0,
594,"this topic introduces the concepts of providing  infrastructure as a service (iaas), software as a  service (saas), platform as a service (paas), and all  of their relatives relevant to the learners should be  covered ",infrastructure as a service (iaas),4,0,0,0,1,0,0,0,0,
595,"this topic introduces the concepts of providing  infrastructure as a service (iaas), software as a  service (saas), platform as a service (paas), and all  of their relatives relevant to the learners should be  covered ",software as a service (saas),4,0,0,0,1,0,0,0,0,
596,"this topic introduces the concepts of providing  infrastructure as a service (iaas), software as a  service (saas), platform as a service (paas), and all  of their relatives relevant to the learners should be  covered ",platform as a service (paas),4,0,0,0,1,0,0,0,0,
597,"this topic introduces the concepts of providing  infrastructure as a service (iaas), software as a  service (saas), platform as a service (paas), and all  of their relatives relevant to the learners should be  covered ",relevant cloud computing models and services,4,0,0,0,1,0,0,0,0,
598,"this topic examines the attack surfaces of the  various distributed computing models emphasizing  the fact that every interface introduces potential  vulnerabilities. the hypervisor, virtual networking,  physical network, and interprocess communication  should all be covered. ",hypervisor vulnerabilities,4,0,0,0,1,0,0,0,0,
599,"this topic examines the attack surfaces of the  various distributed computing models emphasizing  the fact that every interface introduces potential  vulnerabilities. the hypervisor, virtual networking,  physical network, and interprocess communication  should all be covered. ",virtual networking vulnerabilities,4,0,0,0,1,0,0,0,0,
600,"this topic examines the attack surfaces of the  various distributed computing models emphasizing  the fact that every interface introduces potential  vulnerabilities. the hypervisor, virtual networking,  physical network, and interprocess communication  should all be covered. ",physical network vulnerabilities,4,0,0,0,1,0,0,0,0,
601,"this topic examines the attack surfaces of the  various distributed computing models emphasizing  the fact that every interface introduces potential  vulnerabilities. the hypervisor, virtual networking,  physical network, and interprocess communication  should all be covered. ",interprocess communication vulnerabilities,4,0,0,0,1,0,0,0,0,
602,this knowledge unit introduces the concepts  typically covered in a computer networking course.  it provides the foundation for the more specialized  kus. ,concepts covered in computer networking courses,4,0,0,0,1,0,0,0,0,
603,this knowledge unit introduces the concepts  typically covered in a computer networking course.  it provides the foundation for the more specialized  kus. ,foundation for specialized knowledge units,4,0,0,0,1,0,0,0,0,
604,this topic should cover the ideas of nodes and  edges with the names of the various topologies and  the transmission characteristics of the topologies. ,nodes,4,0,0,0,1,0,0,0,0,
605,this topic should cover the ideas of nodes and  edges with the names of the various topologies and  the transmission characteristics of the topologies. ,edges,4,0,0,0,1,0,0,0,0,
606,this topic should cover the ideas of nodes and  edges with the names of the various topologies and  the transmission characteristics of the topologies. ,"topologies (e.g., bus, ring, star, mesh)",4,0,0,0,1,0,0,0,0,
607,this topic should cover the ideas of nodes and  edges with the names of the various topologies and  the transmission characteristics of the topologies. ,"transmission characteristics (e.g., bandwidth, latency)",4,0,0,0,1,0,0,0,0,
608,"this topic covers the ieee 802 network architecture and how the various networks are named based on  the physical characteristics (lans, mans, etc.). ",ieee 802 network architecture,4,0,0,0,1,0,0,0,0,
609,"this topic covers the ieee 802 network architecture and how the various networks are named based on  the physical characteristics (lans, mans, etc.). ",lans (local area networks),4,0,0,0,1,0,0,0,0,
610,"this topic covers the ieee 802 network architecture and how the various networks are named based on  the physical characteristics (lans, mans, etc.). ",mans (metropolitan area networks),4,0,0,0,1,0,0,0,0,
611,"this topic covers packet forwarding in general.  since similar switching silicone is now used in  routers and switches, and sdn treats forwarding  separate from building the forwarding table, this is  its own topic. ",packet forwarding in routers,4,0,0,0,1,0,0,0,0,
612,"this topic covers packet forwarding in general.  since similar switching silicone is now used in  routers and switches, and sdn treats forwarding  separate from building the forwarding table, this is  its own topic. ",packet forwarding in switches,4,0,0,0,1,0,0,0,0,
613,"this topic covers packet forwarding in general.  since similar switching silicone is now used in  routers and switches, and sdn treats forwarding  separate from building the forwarding table, this is  its own topic. ",similar silicon used in routers and switches,4,0,0,0,1,0,0,0,0,
614,"this topic covers packet forwarding in general.  since similar switching silicone is now used in  routers and switches, and sdn treats forwarding  separate from building the forwarding table, this is  its own topic. ",sdn and forwarding,4,0,0,0,1,0,0,0,0,
615,"this topic covers packet forwarding in general.  since similar switching silicone is now used in  routers and switches, and sdn treats forwarding  separate from building the forwarding table, this is  its own topic. ",separation of forwarding and table building in sdn,4,0,0,0,1,0,0,0,0,
616,this topic covers routing algorithms and explains  how forwarding tables are built using graph analysis  algorithms such as link-state and distance vector. ,routing algorithms,4,0,0,0,1,0,0,0,0,
617,this topic covers routing algorithms and explains  how forwarding tables are built using graph analysis  algorithms such as link-state and distance vector. ,forwarding tables,4,0,0,0,1,0,0,0,0,
618,this topic covers routing algorithms and explains  how forwarding tables are built using graph analysis  algorithms such as link-state and distance vector. ,graph analysis algorithms,4,0,0,0,1,0,0,0,0,
619,this topic covers routing algorithms and explains  how forwarding tables are built using graph analysis  algorithms such as link-state and distance vector. ,link state algorithm,4,0,0,0,1,0,0,0,0,
620,this topic covers routing algorithms and explains  how forwarding tables are built using graph analysis  algorithms such as link-state and distance vector. ,distance vector algorithm,4,0,0,0,1,0,0,0,0,
621,this topic covers learning algorithms and ieee  802.1 bridging along with spanning tree protocol  and its relationship to routing. it is not currently  clear how this topic will evolve with stp being  replaced through the emergence of trill and stp. ,learning algorithms,4,0,0,0,1,0,0,0,0,
622,this topic covers learning algorithms and ieee  802.1 bridging along with spanning tree protocol  and its relationship to routing. it is not currently  clear how this topic will evolve with stp being  replaced through the emergence of trill and stp. ,ieee 802.1 bridging,4,0,0,0,1,0,0,0,0,
623,this topic covers learning algorithms and ieee  802.1 bridging along with spanning tree protocol  and its relationship to routing. it is not currently  clear how this topic will evolve with stp being  replaced through the emergence of trill and stp. ,spanning tree protocol (stp),4,0,0,0,1,0,0,0,0,
624,this topic covers learning algorithms and ieee  802.1 bridging along with spanning tree protocol  and its relationship to routing. it is not currently  clear how this topic will evolve with stp being  replaced through the emergence of trill and stp. ,relationship between stp and routing,4,0,0,0,1,0,0,0,0,
625,this topic covers learning algorithms and ieee  802.1 bridging along with spanning tree protocol  and its relationship to routing. it is not currently  clear how this topic will evolve with stp being  replaced through the emergence of trill and stp. ,trill (transparent interconnection of lots of links),4,0,0,0,1,0,0,0,0,
626,this topic covers emerging technologies and their  impact as they emerge. currently the impact of  sdn and adding routing to layer 2 with enhanced  learning bridges would be the content. this is  evolving rapidly. ,sdn,4,0,0,0,1,0,0,0,0,
627,this topic covers emerging technologies and their  impact as they emerge. currently the impact of  sdn and adding routing to layer 2 with enhanced  learning bridges would be the content. this is  evolving rapidly. ,adding routing to layer 2,4,0,0,0,1,0,0,0,0,
628,this topic covers emerging technologies and their  impact as they emerge. currently the impact of  sdn and adding routing to layer 2 with enhanced  learning bridges would be the content. this is  evolving rapidly. ,enhanced learning bridges,4,0,0,0,1,0,0,0,0,
629,virtualization has provided ways to design  architecture using either native virtualization  (type 1) or virtualization under the control of a host  operating system (type 2). ,native virtualization (type 1),"4,5 ",0,0,0,1,1,0,0,0,
630,virtualization has provided ways to design  architecture using either native virtualization  (type 1) or virtualization under the control of a host  operating system (type 2). ,hosted virtualization (type 2),"4,5 ",0,0,0,1,1,0,0,0,
631,"this knowledge unit explores specific technologies  that implement the general concepts of networking.  network architecture concepts may be illustrated by  specific implementations but it should be made  clear that there are other possibilities. it should be  emphasized that vulnerabilities are exploited in  implementations. often an architecture can be  proven correct theoretically, but implemented in a  way that has vulnerabilities. also seams between  technologies often open vulnerabilities. arp  poisoning is a perfect example of how a seam  between technologies opens vulnerabilities. ",specific technologies in networking,4,0,0,0,1,0,0,0,0,
632,"this knowledge unit explores specific technologies  that implement the general concepts of networking.  network architecture concepts may be illustrated by  specific implementations but it should be made  clear that there are other possibilities. it should be  emphasized that vulnerabilities are exploited in  implementations. often an architecture can be  proven correct theoretically, but implemented in a  way that has vulnerabilities. also seams between  technologies often open vulnerabilities. arp  poisoning is a perfect example of how a seam  between technologies opens vulnerabilities. ",network architecture concepts,4,0,0,0,1,0,0,0,0,
633,"this knowledge unit explores specific technologies  that implement the general concepts of networking.  network architecture concepts may be illustrated by  specific implementations but it should be made  clear that there are other possibilities. it should be  emphasized that vulnerabilities are exploited in  implementations. often an architecture can be  proven correct theoretically, but implemented in a  way that has vulnerabilities. also seams between  technologies often open vulnerabilities. arp  poisoning is a perfect example of how a seam  between technologies opens vulnerabilities. ",implementation variability,4,0,0,0,1,0,0,0,0,
634,"this knowledge unit explores specific technologies  that implement the general concepts of networking.  network architecture concepts may be illustrated by  specific implementations but it should be made  clear that there are other possibilities. it should be  emphasized that vulnerabilities are exploited in  implementations. often an architecture can be  proven correct theoretically, but implemented in a  way that has vulnerabilities. also seams between  technologies often open vulnerabilities. arp  poisoning is a perfect example of how a seam  between technologies opens vulnerabilities. ",vulnerabilities in implementations,4,0,0,0,1,0,0,0,0,
635,"this knowledge unit explores specific technologies  that implement the general concepts of networking.  network architecture concepts may be illustrated by  specific implementations but it should be made  clear that there are other possibilities. it should be  emphasized that vulnerabilities are exploited in  implementations. often an architecture can be  proven correct theoretically, but implemented in a  way that has vulnerabilities. also seams between  technologies often open vulnerabilities. arp  poisoning is a perfect example of how a seam  between technologies opens vulnerabilities. ",correctness vs. security in theory vs. practice,4,0,0,0,1,0,0,0,0,
636,"this knowledge unit explores specific technologies  that implement the general concepts of networking.  network architecture concepts may be illustrated by  specific implementations but it should be made  clear that there are other possibilities. it should be  emphasized that vulnerabilities are exploited in  implementations. often an architecture can be  proven correct theoretically, but implemented in a  way that has vulnerabilities. also seams between  technologies often open vulnerabilities. arp  poisoning is a perfect example of how a seam  between technologies opens vulnerabilities. ",seam vulnerabilities,4,0,0,0,1,0,0,0,0,
637,"this knowledge unit explores specific technologies  that implement the general concepts of networking.  network architecture concepts may be illustrated by  specific implementations but it should be made  clear that there are other possibilities. it should be  emphasized that vulnerabilities are exploited in  implementations. often an architecture can be  proven correct theoretically, but implemented in a  way that has vulnerabilities. also seams between  technologies often open vulnerabilities. arp  poisoning is a perfect example of how a seam  between technologies opens vulnerabilities. ",arp poisoning as an example,4,0,0,0,1,0,0,0,0,
638,this topic is a deep dive into the iso standards. it is  expected that this topic will be introduced other  places. ,iso standards,4,0,0,0,1,0,0,0,0,
639,this topic is a deep dive into the iso standards. it is  expected that this topic will be introduced other  places. ,introduction to ieee 802 iso networks,4,0,0,0,1,0,0,0,0,
640,this is a deep dive into the basic infrastructure of  the internet and tcp. ,basic infrastructure of the internet,4,0,0,0,1,0,0,0,0,
641,this is a deep dive into the basic infrastructure of  the internet and tcp. ,tcp protocol fundamentals,4,0,0,0,1,0,0,0,0,
642,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",interface shims,4,0,0,0,1,0,0,0,0,
643,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",glue code,4,0,0,0,1,0,0,0,0,
644,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",arp protocol,4,0,0,0,1,0,0,0,0,
645,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",ip addresses,4,0,0,0,1,0,0,0,0,
646,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",ietf internetworking model,4,0,0,0,1,0,0,0,0,
647,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",mac addresses,4,0,0,0,1,0,0,0,0,
648,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",underlying networks,4,0,0,0,1,0,0,0,0,
649,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",infiniband,4,0,0,0,1,0,0,0,0,
650,"this topic looks at the problem of integrating  technologies through the implementation of what  could be called interface shims or glue code. arp is  the obvious example. a mechanism was required to  map the ip addresses of the ietf internetworking  model to the mac addresses of the underlying  networks. arp is the glue. similarly, infiniband  needs a shim to carry ip traffic. other examples abound.  ",ip traffic,4,0,0,0,1,0,0,0,0,
651,"this topic should provide examples from the  technologies important to the program. if arp is  chosen as an example, arp poisoning as a mitm  attach works well. usb and other serial connections  could also provide examples. ",arp vulnerabilities and arp poisoning,4,0,0,0,1,0,0,0,0,
652,"this topic should provide examples from the  technologies important to the program. if arp is  chosen as an example, arp poisoning as a mitm  attach works well. usb and other serial connections  could also provide examples. ",usb vulnerabilities,4,0,0,0,1,0,0,0,0,
653,"this topic should provide examples from the  technologies important to the program. if arp is  chosen as an example, arp poisoning as a mitm  attach works well. usb and other serial connections  could also provide examples. ",serial connection vulnerabilities,4,0,0,0,1,0,0,0,0,
654,"this knowledge unit explores different models used  to implement connectivity between the consumer of  a service and the provider of a service. each topic  can be explored at many levels with many examples  (e.g., wireless issues surrounding biomedical  devices). this area is broken out because the service  models can be implemented in so many ways with  so many different architectures. remote procedure  calls (rpc) are implemented over many different  connection technologies varying from process-to-process in a single processor to across the internet.  the security concerns are different and the design  tradeoffs change based on implementations and  requirements. ",remote procedure calls (rpc),4,0,0,0,1,0,0,0,0,
655,"this knowledge unit explores different models used  to implement connectivity between the consumer of  a service and the provider of a service. each topic  can be explored at many levels with many examples  (e.g., wireless issues surrounding biomedical  devices). this area is broken out because the service  models can be implemented in so many ways with  so many different architectures. remote procedure  calls (rpc) are implemented over many different  connection technologies varying from process-to-process in a single processor to across the internet.  the security concerns are different and the design  tradeoffs change based on implementations and  requirements. ",connection technologies,4,0,0,0,1,0,0,0,0,
656,"this knowledge unit explores different models used  to implement connectivity between the consumer of  a service and the provider of a service. each topic  can be explored at many levels with many examples  (e.g., wireless issues surrounding biomedical  devices). this area is broken out because the service  models can be implemented in so many ways with  so many different architectures. remote procedure  calls (rpc) are implemented over many different  connection technologies varying from process-to-process in a single processor to across the internet.  the security concerns are different and the design  tradeoffs change based on implementations and  requirements. ",process to process communication,4,0,0,0,1,0,0,0,0,
657,"this knowledge unit explores different models used  to implement connectivity between the consumer of  a service and the provider of a service. each topic  can be explored at many levels with many examples  (e.g., wireless issues surrounding biomedical  devices). this area is broken out because the service  models can be implemented in so many ways with  so many different architectures. remote procedure  calls (rpc) are implemented over many different  connection technologies varying from process-to-process in a single processor to across the internet.  the security concerns are different and the design  tradeoffs change based on implementations and  requirements. ",internet scale communication,4,0,0,0,1,0,0,0,0,
658,"this knowledge unit explores different models used  to implement connectivity between the consumer of  a service and the provider of a service. each topic  can be explored at many levels with many examples  (e.g., wireless issues surrounding biomedical  devices). this area is broken out because the service  models can be implemented in so many ways with  so many different architectures. remote procedure  calls (rpc) are implemented over many different  connection technologies varying from process-to-process in a single processor to across the internet.  the security concerns are different and the design  tradeoffs change based on implementations and  requirements. ",security concerns,4,0,0,0,1,0,0,0,0,
659,"this knowledge unit explores different models used  to implement connectivity between the consumer of  a service and the provider of a service. each topic  can be explored at many levels with many examples  (e.g., wireless issues surrounding biomedical  devices). this area is broken out because the service  models can be implemented in so many ways with  so many different architectures. remote procedure  calls (rpc) are implemented over many different  connection technologies varying from process-to-process in a single processor to across the internet.  the security concerns are different and the design  tradeoffs change based on implementations and  requirements. ",design tradeoffs,4,0,0,0,1,0,0,0,0,
660,this topic is a network-centric dive into one model  of distributed computing. a service is a process that  provides something to another process based on a  request. ,network centric view,4,0,0,0,1,0,0,0,0,
661,this topic is a network-centric dive into one model  of distributed computing. a service is a process that  provides something to another process based on a  request. ,distributed computing model,4,0,0,0,1,0,0,0,0,
662,this topic is a network-centric dive into one model  of distributed computing. a service is a process that  provides something to another process based on a  request. ,service as a process,4,0,0,0,1,0,0,0,0,
663,this topic is a network-centric dive into one model  of distributed computing. a service is a process that  provides something to another process based on a  request. ,request based interaction,4,0,0,0,1,0,0,0,0,
664,"this topic is a network-centric look at how services  are modelled. from a network perspective, the  client initiates a connection and a server responds.  with p2p either side can initiate the request ",client server model,4,0,0,0,1,0,0,0,0,
665,"this topic is a network-centric look at how services  are modelled. from a network perspective, the  client initiates a connection and a server responds.  with p2p either side can initiate the request ",peer to peer model,4,0,0,0,1,0,0,0,0,
666,"this topic is a network-centric look at how services  are modelled. from a network perspective, the  client initiates a connection and a server responds.  with p2p either side can initiate the request ",initiation of connection in client server model,4,0,0,0,1,0,0,0,0,
667,"this topic is a network-centric look at how services  are modelled. from a network perspective, the  client initiates a connection and a server responds.  with p2p either side can initiate the request ",response in client server model,4,0,0,0,1,0,0,0,0,
668,"this topic is a network-centric look at how services  are modelled. from a network perspective, the  client initiates a connection and a server responds.  with p2p either side can initiate the request ",request initiation in peer to peer model,4,0,0,0,1,0,0,0,0,
669,"this topic describes all of the ways components  connect. procedure calls, ipc requests, interface  definition languages with stub code, private  protocols over a socket, everything. ",ipc requests,4,0,0,0,1,0,0,0,0,
670,"this topic describes all of the ways components  connect. procedure calls, ipc requests, interface  definition languages with stub code, private  protocols over a socket, everything. ",interface definition languages (idls),4,0,0,0,1,0,0,0,0,
671,"this topic describes all of the ways components  connect. procedure calls, ipc requests, interface  definition languages with stub code, private  protocols over a socket, everything. ",stub code generation,4,0,0,0,1,0,0,0,0,
672,"this topic describes all of the ways components  connect. procedure calls, ipc requests, interface  definition languages with stub code, private  protocols over a socket, everything. ",private protocols over a socket,4,0,0,0,1,0,0,0,0,
673,"this topic describes all of the ways components  connect. procedure calls, ipc requests, interface  definition languages with stub code, private  protocols over a socket, everything. ",procedure calls,4,0,0,0,1,0,0,0,0,
674,"this topic looks at specific services and how their  protocols are implemented. examples are smtp,  http, snmp, rest, corba, etc. specialty  connections such as wireless control of implanted  medical devices can also be examined. ",smtp protocols,4,0,0,0,1,0,0,0,0,
675,"this topic looks at specific services and how their  protocols are implemented. examples are smtp,  http, snmp, rest, corba, etc. specialty  connections such as wireless control of implanted  medical devices can also be examined. ",http implementation,4,0,0,0,1,0,0,0,0,
676,"this topic looks at specific services and how their  protocols are implemented. examples are smtp,  http, snmp, rest, corba, etc. specialty  connections such as wireless control of implanted  medical devices can also be examined. ",snmp usage,4,0,0,0,1,0,0,0,0,
677,"this topic looks at specific services and how their  protocols are implemented. examples are smtp,  http, snmp, rest, corba, etc. specialty  connections such as wireless control of implanted  medical devices can also be examined. ",rest architecture,4,0,0,0,1,0,0,0,0,
678,"this topic looks at specific services and how their  protocols are implemented. examples are smtp,  http, snmp, rest, corba, etc. specialty  connections such as wireless control of implanted  medical devices can also be examined. ",corba connections,4,0,0,0,1,0,0,0,0,
679,"this topic looks at specific services and how their  protocols are implemented. examples are smtp,  http, snmp, rest, corba, etc. specialty  connections such as wireless control of implanted  medical devices can also be examined. ",wireless control of medical devices,4,0,0,0,1,0,0,0,0,
