,Statement Description
1353, Service denial attacks
1354,RSA encryption methods
1355, Key encapsulation mechanisms (KEM)
1356, Data encryption methods (DEM)
1357, RSA OAEP specifics
1358,encryption modes
1359, confidentiality
1360, authenticity
1361, encryption techniques
1362, GCM (Galois/Counter Mode)
1363,P1363 standard
1364, Public Key Cryptography
1365,Knowledge of cryptographic techniques
1366, Understanding of data concealment methods
1367, Awareness of communication security practices
1368,DES
1369, weak key
1370, encryption
1371, internal keys
1372, key transformation
1373,software testing methods
1374, security testing techniques
1375, dynamic analysis
1376, static analysis
1377,Understanding of common web application security threats
1378, Knowledge of Denial of Service (DoS) attacks
1379, Awareness of application availability and uptime concepts
1380,knowledge of cybersecurity
1381, understanding of phishing attack mechanisms
1382, awareness of different cybersecurity tools and their functions
1383,Steganography
1384, Cybersecurity concepts
1385, Data hiding techniques
1386,knowledge of security controls
1387, understanding of real time vs non real time systems
1388,knowledge of security principles
1389, understanding of threat models
1390, familiarity with security mechanisms
1391, awareness of system vulnerabilities
1392,network security policies
1393, distributed computing
1394, firewall technologies
1395,knowledge of digital signatures
1396, understanding of public key infrastructure
1397, knowledge of trust models in cybersecurity
1398,network security
1399, types of cyber attacks
1400,Understanding of internet technology and its evolution
1401, Knowledge of historical context of information control
1402, Awareness of current global internet usage patterns
1403, Understanding of public opinion dynamics and media management
1404,Understanding of internal controls
1405, Knowledge of transaction initiation processes
1406, Awareness of different types of controls
1407,Symmetric cryptography basics
1408, Types of cryptographic keys
1409,hashing algorithms
1410, SHA family
1411,knowledge of privacy laws
1412, understanding of medical record management
1413, familiarity with data security measures
1414, awareness of centralized database challenges
1415,Cryptography basics
1416, Public key infrastructure
1417, Symmetric and asymmetric encryption concepts
1418,Email protocols
1419, Internet protocols
1420,Understanding of digital signatures
1421, Concept of data integrity
1422, Basics of hash functions
1423,knowledge of wireless network topologies
1424, understanding of infrastructure networks
1425, understanding of ad hoc networks
1426,malware types
1427, virus characteristics
1428, worm characteristics
1429, trojan characteristics
1430,CIA triad components
1431,Web security
1432, Mobile security
1433, User interface vulnerabilities
1434, Stealth techniques
1435, Sensitive information theft
1436,Understanding of security principles
1437, Knowledge of privilege management
1438, Experience with access control
1439, Familiarity with IT security best practices
1440,Key management concepts
1441, Encryption principles
1442,knowledge of database security
1443, understanding of access control mechanisms
1444, familiarity with database content
1445,Trusted Computing Base
1446, Security concepts
1447, Computer security terminology
1448,Operating system architecture
1449, Kernel functionality
1450, Security concepts
1451,Knowledge of cybersecurity tools and their functions
1452, Understanding of network security concepts
1453, Familiarity with threat intelligence feeds
1454, Awareness of log management practices
1455,knowledge of computer forensics processes
1456, understanding of network components and operations
1457, awareness of forensic investigation methods
1458,Public key cryptography basics
1459, Key distribution processes
1460, Certificate management concepts
1461,knowledge of access control systems
1462, understanding of job classification
1463, understanding of permission enforcement
1464,knowledge of web security
1465, understanding of XSS attacks
1466, familiarity with web content security techniques
1467,knowledge of data backup processes
1468, understanding of data integrity validation
1469, familiarity with security solution deployment
1470, experience in data storage management
1471, classification of data
1472,Incident response processes
1473, Network security concepts
1474, Security incident management
1475,ITIL (Information Technology Infrastructure Library)
1476, Incident Management process in ITIL
1477, Service Continuity and Availability concepts
1478,Understanding of network security concepts
1479, Knowledge of communication protocols
1480, Awareness of internet security needs
1481,Knowledge of Information Security Management Systems
1482, Understanding of organizational structure
1483, Awareness of information security domains
1484,Certificate Revocation List
1485,Operational forensics
1486, Evidence retention
1487, Legal and investigative procedures
1488,Understanding of security principles
1489, Knowledge of organizational risk management
1490, Awareness of legal and regulatory requirements
1491, Familiarity with security policy best practices
1492,cybersecurity concepts
1493, principles of access control
1494,File transfer protocols
1495, Network ports
1496,knowledge of data protection principles
1497, understanding of healthcare system data management
1498, familiarity with payment data security
1499,Knowledge of computer security standards
1500, Understanding of U.S. government security models
1501,Understanding of cryptographic processes
1502, Knowledge of hash functions
1503, Awareness of data integrity concepts
1504, Familiarity with authentication mechanisms
1505,malicious software concepts
1506, virus types
1507, computer security
1508,knowledge of network configuration
1509, understanding of browser management
1510, familiarity with IT administration
1511,Configuration Management
1512, Configuration Control Board
1513, Work product configurations
1514, Human element in configuration management
1515,Understanding of social engineering techniques
1516, Knowledge of information security best practices
1517, Awareness of human factors in security
1518,knowledge of early Internet objectives
1519, history of Internet development
1520,Understanding of encryption principles
1521, Knowledge of cryptographic limitations
1522, Familiarity with one time pad characteristics
1523,Computer security concepts
1524, Cybersecurity terminology
1525,Asymmetric cryptography
1526, Authentication protocols
1527, Public and private keys
1528,Understanding of covert channels
1529, Knowledge of unintended data transfer methods
1530, Process execution and creation skills
1531, Awareness of data transfer protocols
1532,knowledge of computer hardware components
1533, understanding of data persistence
1534, forensic investigation techniques
1535,knowledge of data security concepts
1536, understanding of cryptographic functions
1537, familiarity with data communication principles
1538,Berkeley Packet Filter
1539, networking protocols
1540, OSI model
1541,Security fundamentals
1542, Access control principles
1543,Security Information Management
1544, Network segmentation
1545, Vulnerability assessment
1546, Access control configuration
1547, Event filtering
1548,Understanding of object oriented programming concepts
1549, Knowledge of security models
1550, Awareness of access control mechanisms
1551,Radar technology
1552, Stealth technology
1553, Military aircraft design
1554,Knowledge of Windows operating system
1555, Understanding of computer hardware and power management
1556, Awareness of energy conservation practices
1557, Understanding of cybersecurity risks
1558,knowledge of computer security
1559, understanding of user account permissions
1560, awareness of privilege escalation
1561, understanding of system security implications
1562,password security
1563, cybersecurity
1564, encryption
1565,antivirus software functions
1566, real time scanning process
1567, malware types
1568,knowledge of legal procedures
1569, understanding of computer systems
1570, awareness of security measures
1571, knowledge of criminal investigation processes
1572,IPv6 address types
1573, Unicast
1574, Anycast
1575, Multicast
1576,security design principles
1577, risk management
1578, security technologies
1579,Key escrow systems
1580, M of N threshold cryptography
1581,Instant Messaging system security
1582, User enrollment process
1583, Access control mechanisms
1584, Directory services
1585,Cybersecurity principles
1586, Risk management practices
1587, Data protection laws
1588,Information Risk Management concepts
1589, Safeguard and vulnerability definitions
1590, Risk mitigation principles
1591,Neural networks
1592, Graph theory
1593,Cloud computing concepts
1594, Resource management in cloud environments
1595,Understanding of computer networks
1596, Knowledge of malware and cyber threats
1597, Definition and characteristics of botnets
1598,Near field communication
1599, Wireless communication technologies
1600, Smartphone functionalities
1601,network security
1602, intrusion detection systems
1603, network traffic analysis
1604,Knowledge of workplace communication
1605, Understanding of surveillance techniques
1606, Awareness of employee behavior and motivation
1607, Understanding of data security and privacy
1608, Familiarity with potential risks in digital communication
1609,Cryptography
1610, Information security concepts
1611,Security concepts
1612, Application system architecture
1613, Help system functionality
1614,Web security concepts
1615, HTTP headers
1616, Cross origin resource sharing
1617,Understanding of security threats and risks
1618, Knowledge of information security principles
1619, Awareness of employee behavior and its impact on security
1620, Familiarity with security policies and procedures
1621,knowledge of modular arithmetic
1622, understanding of quadratic functions
1623, familiarity with encryption algorithms
1624,Network security concepts
1625, Sniffing techniques
1626, Switched network operations
1627,Understanding of organizational assets
1628, Knowledge of asset valuation principles
1629, Insight into organizational operations and business models
1630,Knowledge of Configuration Management principles
1631, Understanding of Configuration Management Plan (CMP)
1632, Awareness of Configuration Control Board (CCB)
1633, Familiarity with change control processes
1634,IEEE 802 standards
1635, wireless local area network (WLAN) specifications
1636,knowledge of software systems
1637, understanding of open vs closed systems
1638,Data warehousing concepts
1639, Business intelligence fundamentals
1640, Database management systems
1641,accountability concepts
1642, security principles
1643,Cybersecurity fundamentals
1644, Wireless network security
1645, Remote network connectivity risks
1646,DoS attacks
1647, ICMP Echo requests
1648, broadcast IP addresses
1649, spoofed source addresses
1650, Smurf attack mechanism
1651,Risk management
1652, Security risk assessment
1653, Procurement processes
1654, Contract management
1655,network security
1656, remote work policies
1657, internal network access
1658, transparent access technologies
1659,SSH (Secure Shell) protocol knowledge
1660, Transport Layer Protocol functionality
1661, Key exchange process in network security
1662,knowledge of cybersecurity
1663, understanding of honeypots
1664, awareness of attacker behavior
1665,XML parsing
1666, Understanding of XML external entities (XXE)
1667, Knowledge of file system paths
1668,Knowledge of Evaluation Assurance Levels
1669, Understanding of security certification processes
1670, Familiarity with Common Criteria
1671,Understanding of multilevel secure systems
1672, Knowledge of covert channels
1673, Awareness of security risks in computer systems
1674,network security concepts
1675, encryption methods
1676, cybersecurity practices
1677,Knowledge of networking protocols
1678, Understanding of security in networking
1679,cybersecurity
1680, training
1681, awareness programs
1682, employee education
1683, security risks
1684,malware concepts
1685, virus types
1686, computer security
1687,Fault tolerance concepts
1688, Leased line technology
1689, Carrier network infrastructure
1690, Redundancy in telecommunications
1691, Service provider diversity
1692,cybersecurity fundamentals
1693, vulnerability management
1694, patch management processes
1695,Knowledge of cybersecurity terms
1696, Understanding of user authentication processes
1697,Understanding of MAC address functionality
1698, Knowledge of how switches operate
1699, Awareness of network flooding techniques
1700, Concept of ARP and MAC addresses
1701,Information Security Services
1702,network security
1703, port scanning techniques
1704, TCP flags
1705,Web services standards
1706, SOAP protocol
1707, Service oriented architecture
1708,Knowledge of the field of information security
1709, Understanding of security incident investigation processes
1710, Familiarity with terms related to digital forensics
1711,knowledge of computer networks
1712, understanding of cyber security threats
1713, familiarity with network attack tools
1714,Network protocols
1715, Remote access technologies
1716, Authentication methods
1717,HTTP protocol basics
1718, Tunneling concepts
1719, Encryption methods
1720, Access control mechanisms
1721,Asymmetric key cryptography
1722, Public key cryptography
1723, Private key cryptography
1724, Encryption and decryption processes
1725,Emergency management
1726, Priority setting
1727, Task organization
1728,cybersecurity concepts
1729, smart card functionalities
1730, identification and authentication processes
1731,knowledge of cryptographic concepts
1732, understanding of encryption and decryption processes
1733, awareness of different cryptographic attack methods
1734,cybersecurity
1735, security audits
1736, industry regulations
1737, security policies
1738,knowledge of cryptographic algorithms
1739, understanding of algorithm design principles
1740, familiarity with computational complexity
1741,Web application security
1742, Session management
1743, User permissions
1744,Understanding of security principles
1745, Knowledge of access control systems
1746, Familiarity with authentication methods
1747,knowledge of encryption algorithms
1748, block cipher concepts
1749,knowledge of fault tolerance
1750, understanding of system recovery processes
1751, awareness of safe mode operation
1752,cybersecurity concepts
1753, monitoring in cybersecurity
1754, security threats and vulnerabilities
1755,forensic computing
1756, incident response
1757, system administration
1758,Knowledge of common Windows workstation activities
1759, Understanding of security risks associated with different online behaviors
1760,Principles of secure system design
1761, Cryptography and security control mechanisms
1762,knowledge of steganography techniques
1763, understanding of data insertion methods in files
1764,Cryptography
1765, Data security concepts
1766,Knowledge of network protocols
1767, Understanding of TCP/IP stack
1768, Awareness of common attack vectors
1769,web server security
1770, HTTP headers
1771, error message handling
1772,phishing techniques
1773, malware deployment methods
1774, cybersecurity threats
1775, spying tactics
1776,network security
1777, network hardware
1778,network security
1779, device authentication
1780, network access control
1781,knowledge of encryption algorithm modes
1782, understanding of error propagation in encryption
1783,NFC technology
1784, NFC security vulnerabilities
1785, Two factor authentication
1786, Physical security measures
1787,knowledge of IBM KryptoKnight SSO system
1788, understanding of cryptographic approaches
1789, symmetric key cryptography concepts
1790, public key cryptography concepts
1791, RSA encryption
1792,BitLocker knowledge
1793, Encryption types including symmetric and asymmetric encryption
1794,ethical hacking stages
1795, reconnaissance techniques
1796,Understanding of data security concepts
1797, Knowledge of cryptographic techniques
1798,Risk Analysis concepts
1799, Single Loss Expectancy definition
1800, Annualized Loss Expectancy definition
1801, Exposure Factor definition
1802, Annualized Rate of Occurrence definition
1803,Understanding of network storage concepts
1804, Knowledge of file sharing protocols
1805, Awareness of networked storage technologies
1806,knowledge of rootkit operation
1807, understanding of system security mechanisms
1808, awareness of stealth techniques in cybersecurity
1809,security mechanisms
1810, data access control
1811, process integrity
1812, firewall function
1813, encryption concepts
1814, virtualization purposes
1815, process isolation techniques
1816,knowledge of processor security techniques
1817, understanding of buffer overflow attacks
1818, familiarity with memory management concepts
1819,Information security concepts
1820, Risk management principles
1821, Dynamic computing environments
1822,Knowledge of data security concepts
1823, Understanding of encryption techniques
1824, Familiarity with virtual private network (VPN) technologies
1825,knowledge of fire classifications
1826, understanding of CO2 fire extinguishing properties
1827,application layer gateways
1828, web application firewalls
1829,Knowledge of authentication factors
1830, Understanding of security concepts
1831,Networking fundamentals
1832, Switching and routing concepts
1833,Procurement processes
1834, Contract management
1835, Third party risk management
1836, Information security policies
1837,networking tools
1838, remote access techniques
1839, attacker methodologies
1840,Cryptography concepts
1841, Security goals
1842,Computer forensics
1843, Legal procedures
1844, Testimony skills
1845,Network Address Translation
1846, IP addressing
1847, Internet protocols
1848,knowledge of intranet security
1849, understanding of business impacts
1850, awareness of cybersecurity threats
1851,Clustered server architecture
1852, Fault tolerance concepts
1853, Failover mechanisms
1854,Understanding of encryption types
1855, Knowledge of communication security concepts
1856, Familiarity with network security protocols
1857,Mandatory Access Control model
1858, Access control concepts
1859,Knowledge of Common Criteria framework
1860, Understanding of Security Targets (ST)
1861, Familiarity with Protection Profiles (PP)
1862, Awareness of Technical Implementation Entities (TOE)
1863,ISP network segmentation
1864, technical aspects of VPN client deployment
1865, regulations on residential internet usage
1866, DDoS attack mechanisms
1867,knowledge of communication technologies
1868, understanding of optical fiber properties
1869,Wireless networking
1870, Router security measures
1871,knowledge of audit trails
1872, understanding of cybersecurity concepts
1873, familiarity with computer security systems
1874,network security
1875, access control lists
1876, IP addressing
1877, network protocols
1878,knowledge of web application security
1879, understanding of SQL syntax and database operations
1880, awareness of common web vulnerabilities
1881,Configuration management concepts
1882, Security best practices
1883, System version control
1884, Vulnerability management
1885,network security
1886, LAN switching
1887, data encryption
1888, system patch management
1889, vulnerability assessment
1890,Biba model security concepts
1891, Integrity levels
1892, Data flow rules
1893,cell biology
1894, endocytosis
1895, exocytosis
1896, cellular transport
1897,knowledge of malware
1898, understanding of data loss prevention
1899, awareness of security best practices
1900, familiarity with backup processes
1901,knowledge of authentication technologies
1902, understanding of password generation mechanisms
1903, familiarity with time based security protocols
1904,Risk management concepts
1905, Security and risk assessment principles
1906,network security
1907, encryption principles
1908, cybersecurity concepts
1909,TCP/IP model
1910, Transport layer functions
1911, Network layer overview
1912,Knowledge of信息安全技术
1913, Understanding of密码学基本概念
1914,nmap
1915, scripting engine
1916, open ports
1917, custom scripts
1918, scan randomization
1919, scan result encryption
1920,SRTP knowledge
1921, Encryption methods
1922, AES GCM
1923, RC4 limitations
1924, DES security
1925, HMAC SHA1
1926,biometric systems
1927, employment duration
1928, measurement properties
1929,knowledge of phishing
1930, understanding of voice communication
1931, awareness of social engineering techniques
1932,knowledge of malware types
1933, definition of Trojan
1934, definition of virus
1935, definition of worm
1936, definition of ransomware
1937,knowledge of FBI National Security Threat List
1938, understanding of current national security issues
1939,Proxy server functionality
1940, Internet traffic filtering
1941, Corporate network security
1942, Internal system protection
1943,security assessments
1944, vulnerability management
1945, regulatory compliance
1946, security controls evaluation
1947,Knowledge of privacy laws and practices
1948, Understanding of personal data protection
1949, Familiarity with ethical data handling
1950,knowledge of information security principles
1951, understanding of the importance of security awareness
1952, ability to participate actively in security practices
1953,Knowledge of antivirus functions
1954, Understanding of computer processes
1955, Awareness of security measures
1956,knowledge of IT infrastructure
1957, understanding of system redundancy
1958, awareness of failover processes
1959,knowledge of digital certificates
1960, understanding of trust models in cybersecurity
1961, familiarity with cryptographic concepts
1962,cybersecurity principles
1963, system integrity
1964, software updates
1965, firewall importance
1966, system monitoring
1967,Forensic computing
1968, Digital forensics tools
1969, Windows operating system
1970,Number theory
1971, Fermat’s Little Theorem
1972,least privilege principle
1973, access control
1974, security concepts
1975,Cellular networks
1976, Attack graphs
1977, State transition representations
1978, Vulnerability assessment
1979,knowledge of biometric technology
1980, understanding of user rights and choices
1981, awareness of privacy issues
1982,knowledge of operating system vulnerabilities
1983, understanding of endpoint management
1984, awareness of patch management practices
1985, familiarity with antimalware software
1986,Data security principles
1987, Privacy laws and regulations
1988, Information governance
1989, Risk management
1990,Understanding of computer security concepts
1991, Knowledge of TCB definition and function
1992,Understanding of cybersecurity threats
1993, Knowledge of software vulnerabilities
1994, Awareness of malicious code
1995,  Familiarity with unauthorized access techniques
1996,Regional Internet Registry knowledge
1997, IP address management knowledge
1998, Geographical knowledge of North America
1999,Access control systems
2000, Security technologies
2001, Identity verification methods
2002,Understanding of security principles
2003, Knowledge of least privilege concept
2004, Awareness of operational procedures
2005,Software update processes
2006, Patch management procedures
2007, Security best practices
2008, System performance optimization
2009,Knowledge of security principles
2010, Understanding of fraud prevention techniques
2011, Awareness of risk management strategies
2012,knowledge of mobile device security
2013, understanding of security policies
2014, awareness of security risks in mobile computing
2015,Supply Chain Risk Management
2016, Third Party Risk Management
2017, Security Policy Development
2018, Audit Processes
2019, On Site Assessments
2020, Vulnerability Assessment
2021,knowledge of statistical terms related to classification accuracy
2022,Social engineering techniques
2023, Phishing methods
2024, Impersonation tactics
2025, Pretexting strategies
2026, Tailgating procedures
2027,Public Key Infrastructure (PKI)
2028, Certificate Repository
2029, Certificate Management
2030,Network security principles
2031, Concepts of least privilege
2032, Risk management in IT
2033, Data protection best practices
2034,knowledge of cybersecurity terms
2035, understanding of data concealment techniques
2036, definition of steganography
2037,Understanding of cloud computing concepts
2038, Knowledge of cost saving strategies
2039, Awareness of management tools and services
2040, Familiarity with outsourcing principles
2041,Understanding of precision in evaluation metrics
2042, Knowledge of Intrusion Detection Systems
2043,knowledge of cryptographic functions
2044, understanding of hash functions
2045, awareness of data integrity
2046,DNS
2047, Resource Records
2048, Domain Name System
2049,knowledge of computer viruses and malware
2050, understanding of how different types of malware spread
2051, definition of a worm in computing
2052,HR policies
2053, IT security practices
2054, Employment law
2055,WAN technologies
2056, cell switching
2057, bandwidth allocation
2058,security measures
2059, physical access control
2060, surveillance systems
2061, biometric technology
2062,knowledge of security principles
2063, understanding of security control mechanisms
2064, awareness of insider threat concepts
2065,knowledge of cybersecurity threats
2066, understanding of risk management principles
2067, familiarity with IT infrastructure
2068, awareness of software patching cycles
2069,network architecture
2070, proxy server functionality
2071, security concepts
2072,knowledge of email security
2073, understanding of spam prevention methods
2074, familiarity with blacklist technology
2075,knowledge of ticket types in service management
2076, understanding of proxy tickets
2077, awareness of ticket hierarchy and usage
2078,knowledge of networking protocols
2079, understanding of secure connections
2080, awareness of private versus public networks
2081,Digital signature process
2082, Public key infrastructure (PKI)
2083, Asymmetric cryptography
2084,Knowledge of cryptographic protocols
2085, Understanding of asymmetric cryptography
2086, Familiarity with RSA
2087, Understanding of Diffie Hellman key exchange
2088, Knowledge of Public Key Infrastructure (PKI)
2089, Awareness of key agreement security requirements
2090,knowledge of biometric technology
2091, definition of biometrics
2092,knowledge of U.S. government cryptographic standards
2093, understanding of symmetric key algorithms
2094,DDoS attacks
2095, Network security concepts
2096, Cybersecurity threats
2097,Knowledge of network security terms
2098,Understanding of risk management concepts
2099, Knowledge of security vulnerabilities
2100,Knowledge of security systems
2101, Understanding of perimeter security
2102, Awareness of different types of security breaches
2103,Knowledge of cloud computing concepts
2104, Understanding of automation benefits
2105,incident response process
2106, cybersecurity
2107,Management roles and responsibilities
2108, Security program implementation
2109, Organizational compliance
2110, Budget allocation processes
2111,Network protocols
2112, TCP/IP model
2113, Packet structure
2114,business management
2115, information security
2116, regulatory compliance
2117, customer trust
2118, data availability
2119,knowledge of digital signature algorithms
2120, understanding of cryptographic hash functions
2121, awareness of signature uniqueness in security protocols
2122,knowledge of dial up access methods
2123, understanding of security mechanisms
2124, familiarity with modem technology
2125,knowledge of access control concepts
2126, understanding of group and role based access control mechanisms
2127,Cryptography
2128, Encryption process
2129,Understanding of different types of control systems in security and auditing
2130, Knowledge of the purpose and function of detective controls
2131,HIPAA CMM knowledge
2132, Information system security practices
2133,Cryptography
2134, Data confidentiality
2135, Data integrity
2136, Network protocols
2137, HTTP
2138, IPsec
2139, SMTP
2140, TLS
2141,Asymmetric key encryption
2142, Public key
2143, Private key
2144,audit process
2145, data retention policies
2146, legal compliance
2147,IT management
2148, corporate strategy
2149, technology leadership
2150,web server market share history
2151, popular web servers
2152,SQL injection
2153, character encoding
2154, SQL syntax
2155,knowledge of legal systems
2156, understanding of criminal law
2157, understanding of civil law
2158,Kerberos authentication process
2159, Network security concepts
2160, Authentication protocols
2161,Networking fundamentals
2162, Physical and link layer concepts
2163, Network devices and their functions
2164,Understanding of cybersecurity
2165, Definition of stalking
2166, Knowledge of electronic media usage
2167, Awareness of privacy laws and online behavior
2168,Understanding of security principles
2169, Knowledge of least privilege concept
2170, Awareness of potential risks in information systems
2171, Familiarity with job roles and their requirements
2172,knowledge of HIPAA regulations
2173, understanding of CMMI model
2174,Understanding of computer security concepts
2175, Knowledge of how buffer overflow vulnerabilities work
2176, Awareness of common attack vectors in software
2177, Familiarity with system resource management
2178,knowledge of Feistel cipher structure
2179, understanding of encryption functions in ciphers
2180,Knowledge of ISMS (Information Security Management System)
2181, Understanding of risk management concepts
2182, Familiarity with security management handbook principles
2183,Understanding of application systems
2184, Knowledge of dynamic linked libraries (DLLs)
2185, Awareness of security risks in software components
2186,PCI DSS
2187, information security
2188, hiring process
2189, internal threats
2190,knowledge of historical cybersecurity events
2191, understanding of computer worms
2192, familiarity with early internet vulnerabilities
2193, awareness of Robert Morris Jr and his actions
2194,Usable security
2195, Human factors in security
2196, Cognitive psychology
2197, Attention and memory
2198, Cultural awareness
2199,knowledge of Windows 7 file system
2200, understanding of SAM file purpose and location
2201,knowledge of baggage security procedures
2202, understanding of seal integrity and inspection
2203,Knowledge of cryptographic principles
2204, Understanding of RSA algorithm
2205,knowledge of cybersecurity practices
2206, understanding of phishing tactics
2207, awareness of secure online behavior
2208,Cryptography basics
2209, Digital signatures function
2210, Authentication concepts
2211, Data integrity principles
2212,TCP/IP networking
2213, DNS protocol
2214, URL resolution
2215, IP address lookup
2216,knowledge of social engineering
2217, understanding of cyber security threats
2218, awareness of hacking techniques
2219,knowledge of authentication methods
2220, understanding of security principles
2221, factors in authentication
2222,Security principles
2223, Cryptography
2224, Network security
2225,Penetration testing
2226, Reconnaissance phase
2227, Social engineering
2228,knowledge of PCI DSS requirements
2229, understanding of risk assessment and management
2230, familiarity with security controls
2231,Social engineering tactics
2232, Common cyber security threats
2233,Software development lifecycle
2234, Security principles
2235, Management support in projects
2236,Signature based Intrusion Detection Systems
2237, Threat signatures
2238,intrusion detection systems
2239, attack signatures
2240, behavioral analysis
2241,Knowledge of cryptographic protocols
2242, Understanding of symmetric key algorithms
2243, Understanding of asymmetric key algorithms
2244,knowledge of electronic lock technology
2245, understanding of market trends
2246, awareness of security measures
2247, familiarity with lock types
2248,Security breaches
2249, Human error
2250, Negligence
2251,Physical Layer concepts
2252, Device identification techniques
2253, Wireless communication technologies
2254,Access lists
2255, Data flow control
2256, Packet matching criteria
2257,IPSec
2258,network security
2259, vulnerability management
2260, firewall technology
2261, internet service security
2262,knowledge of cybersecurity tools
2263, understanding of vulnerability assessment processes
2264,Unix security vulnerabilities
2265, Privileged instructions in Unix
2266, Object renaming in Unix processes
2267, Race conditions in software
2268,Understanding of business architecture frameworks
2269, Knowledge of Zachman Framework
2270, Awareness of Balanced Scorecard
2271, Familiarity with NIST
2272, Insight into Federal Information Systems Management Act
2273,knowledge of network security terms
2274, understanding of virtual private networks
2275,security principles
2276, cybersecurity practices
2277, incident response
2278,Operating System Concepts
2279, Memory Management
2280,Web application security
2281, Types of injection attacks
2282, Common web vulnerabilities
2283,FIPS 140 2 security levels
2284, tamper resistance
2285, tamper evidence
2286,Backup recovery process
2287,knowledge of domain registration processes
2288, understanding of DNS operations
2289, awareness of cyber attack methods
2290,knowledge of cybersecurity threats
2291, understanding of web server vulnerabilities
2292, awareness of email security risks
2293, familiarity with social engineering techniques
2294,Access control concepts
2295, Security models
2296,Knowledge of database management systems
2297, Understanding of SQL terminology
2298,knowledge of US financial regulation
2299, understanding of the Gramm–Leach–Bliley Act
2300,Understanding of security compliance assurance activities
2301, Knowledge of organizational governance structures
2302, Awareness of business unit interactions
2303, Familiarity with technical specifications and areas of concern
2304,Web analytics
2305, Cookies and tracking technologies
2306, User behavior analysis
2307,knowledge of cryptographic attacks
2308, understanding of block ciphers
2309, awareness of linear cryptanalysis
2310, familiarity with differential cryptanalysis
2311,knowledge of Wi Fi security
2312, understanding of mobile device security
2313, awareness of common security risks
2314,Understanding of cloud computing architecture
2315, Knowledge of physical to virtual migration techniques
2316, Awareness of security risks in cloud environments
2317,knowledge of legal interpretation
2318, understanding of legislative processes
2319, familiarity with legal terminology
2320,knowledge of network security
2321, understanding of malware behaviors
2322, awareness of Storm Worm characteristics
2323,knowledge of network security concepts
2324, understanding of virtual private networks
2325, awareness of encryption techniques
2326,Understanding of access control concepts
2327, Knowledge of capabilities in computer security
2328, Familiarity with access control lists (ACLs)
2329, Ability to compare different access control mechanisms
2330,firewall rules
2331, network security principles
2332,Knowledge of how file deletion works in operating systems
2333, Understanding of file recovery processes
2334, Awareness of how data is stored and overwritten on a computer
2335,Social engineering attacks
2336, Types of social engineering attacks
2337,Knowledge of the Capability Maturity Model Integration (CMMI)
2338, Understanding of security program maturity levels
2339,knowledge of SHA 512 algorithm
2340, understanding of cryptographic hash functions
2341, familiarity with hash function rounds
2342, awareness of 64 bit data structures
2343,Biometrics knowledge
2344, Authentication methods
2345,Intrusion Detection Systems
2346, Snort components
2347, Network traffic analysis
2348,Knowledge of public key cryptography
2349, Understanding of secret key cryptography
2350, Concept of secure key exchange
2351, Brute force attack resistance
2352,Risk management principles
2353, Organizational structure
2354, Coordination within organizations
2355,Apple products and services
2356, iCloud and its components
2357, File storage and sharing concepts
2358,knowledge of VOW stepper
2359, familiarity with PURPLE machine
2360, understanding of permutations
2361,knowledge of network security concepts
2362, understanding of egress filtering
2363,Container security
2364, Cloud native architecture
2365, Vulnerabilities in container images
2366, Potential risks of exposing container ports
2367,Watermarking
2368, Invisible watermarking
2369, Image authentication
2370, Ownership verification
2371,knowledge of security measures
2372, understanding of data protection techniques
2373, familiarity with encryption
2374, awareness of access control methods
2375,knowledge of computer security
2376, understanding of memory protection mechanisms
2377,IPsec
2378, message authentication code (MAC)
2379, data integrity
2380, replay attacks
2381, peer authentication
2382, confidentiality
2383,knowledge of common encryption algorithms used in Wi Fi
2384, understanding of security protocols in wireless networks
2385,NSA
2386, SSE CMM
2387, criticality matrix
2388, security posture
2389,Understanding of Data Loss Prevention concepts
2390, Knowledge of organizational security objectives
2391, Awareness of data protection measures
2392,File integrity checking
2393, Unauthorized file modifications
2394, Trojan horses
2395,network analysis
2396, packet inspection
2397, protocol understanding
2398,Knowledge of the history of the Internet
2399, Understanding of early networking technologies
2400,Understanding of information security principles
2401, Knowledge of regulatory requirements
2402, Familiarity with resource allocation processes
2403, Experience in performance data analysis
2404,Information security concepts
2405, Risk management principles
2406, System protection measures
2407,Social Engineering
2408, Pretexting
2409,DNS functionality
2410, Network protocols
2411,Networking fundamentals
2412, Router functions
2413, Internet protocols
2414,malware analysis
2415, debugging tools
2416, malware behavior
2417,Understanding of security models and mechanisms
2418, Knowledge of access control concepts
2419, Familiarity with data integrity and confidentiality principles
2420, Awareness of security paradigms like Biba and Clark–Wilson
2421,Configuration Management knowledge
2422, IT Infrastructure Management
2423,knowledge of network security technologies
2424, understanding of authentication methods
2425, familiarity with LAN and WLAN concepts
2426, awareness of EAP (Extensible Authentication Protocol)
2427,knowledge of session hijacking
2428, understanding of network security measures
2429, awareness of encryption methods
2430, familiarity with firewalls
2431, knowledge of application security
2432,Cloud computing concepts
2433, Types of cloud services
2434,Understanding of click fraud mechanisms
2435, Knowledge of advertising industry practices
2436, Familiarity with ad networks and their operations
2437,knowledge of cryptanalysis
2438, understanding of RED cipher machines
2439, familiarity with ciphertext and plaintext analysis
2440,P2P networking concepts
2441, Different types of P2P protocols
2442,Knowledge of data center classifications
2443, Understanding of disaster recovery site types
2444,Understanding of dynamic computing environments
