ID ,"Knowledge Units 
 ",Topics ,Description 
5,System Management , ,"This knowledge unit describes techniques for  
including security considerations throughout the  
management of the system. "
5, ,Policy models ,"This topic includes examples such as BellLaPadula, Clark-Wilson, Chinese Wall, and  
Clinical Information Systems Security "
5, ,Policy composition ,This topic covers restrictiveness. 
5, ,Use of automation ,"This topic includes data mining, machine learning  
and related techniques, and their benefits and  
limitations "
"5,2 ", ,"Patching and the  
vulnerability life cycle ","This topic includes the security issues patching  
raises such as whether to patch a system, and  
patching a running system, as well as how to handle  
vulnerability reports "
5, ,Operation ,"This topic includes security in operation, and the  
importance of usability considerations "
5, ,"Commissioning and  
decommissioning ","This topic describes the security considerations  
when installing and removing a system. "
5, ,Insider threat ,"This topic includes examples of insider threats such  
as data exfiltration and sabotage, and covers  
countermeasures. 
 "
5, ,Documentation ,"This topic covers security and assurance  
documentation as well as installation and user  
guides focused on the system itself. "
5, ,Systems and procedures ,"This topic discusses procedures that are used to  
manage systems. "
"5,6 ",System Access , ,"This knowledge unit introduces security  
considerations about controlling access to systems.  
It deals with the identification of entities, and  
confirmation of that identification to the desired  
level of granularity. Topics overlap with the Human  
Security knowledge area, but the focus here is on  
the system elements and not the human ones. "
"5,6 ", ,Authentication methods ,"Authentication methods refers to human-to-system  
or system-to-system authentication; examples  
include passwords, biometrics, dongles, and single  
sign-on. "
"5,6 ", ,Identity ,"How is identity represented to the system? This  
topic includes roles as well as names, etc. "
5,System Control , ,"This knowledge unit examines the security  
considerations involved in controlling the system  
itself. It includes detecting, compensating for,  
defending against, and preventing attacks. "
"5,1 ", ,Access control ,"This topic focuses on controlling access to  
resources, and the integrity of the controls, rather  
than their controlling access to data, which is  
covered in the Data Security knowledge area. "
5, ,Authorization models ,"This topic covers the management of authorization  
across many systems, and the distinction between  
authentication and authorization "
5, ,Intrusion detection ,"This topic covers anomaly, misuse (rule-based,  
signature-based) and specification-based  
techniques "
5, ,Attacks ,"This topic covers attack models (such as attack  
trees and graphs) and specific attacks. "
5, ,Defenses ,"This topic includes examples such as ASLR, IP  
hopping, and intrusion tolerance. "
5, ,Audit ,"This topic covers logging, log analysis, and  
relationship to intrusion detection. "
5, ,Malware ,"This topic includes examples such as computer 
viruses, worms, ransomware, and other forms of  
malware "
5, ,Vulnerabilities models ,"This topic includes examples such as RISOS and  
PA; and enumerations such as CVE and CWE. "
5, ,Penetration testing ,"This topic covers the Flaw Hypothesis  
Methodology and other forms (ISSAF, OSSTMM,  
GISTA, PTES, etc.). 
 "
"5,1 ", ,Forensics ,"This topic focuses on the system requirements for  
forensics. "
5, ,"Recovery, resilience ",This topic includes availability mechanisms. 
5,System Retirement , ,"This knowledge unit examines how retiring a  
system at or before its end of life may affect the  
security of other systems, or of the organization  
that used the system. "
5, ,Decommissioning ,"This topic examines how retiring a system at or  
before its end of life may affect the security of  
other systems, or of the organization that used the  
system. The student should understand the effects  
of removing a system, or components or  
connections within a system, upon the security of  
the system as a whole "
5, ,Disposal ,"This topic includes wiping media and other forms  
of destruction to prevent sensitive information  
(such as PII) from being recovered. "
"5,2,3 ",System Testing , ,"This knowledge unit covers considerations of  
testing systems to ensure they meet security  
requirements. "
"5,2,3 
 ", ,Validating requirements ,"This topic describes methodologies to show that  
requirements meet objectives "
"5,2,3 
 ", ,"Validating composition of  
components ",This topic covers how to test a system as a whole. 
"5,2,3 
 ", ,Unit versus system testing ,"This topic covers how system testing differs from  
component and connection testing. "
"5,2,3 
 ", ,"Formal verification of  
systems ","This topic covers languages, theorem provers, and  
hierarchical decomposition. "
5,"Common System  
Architectures ", ,"This knowledge unit applies the topics of this  
knowledge area to specific architectures that are, or  
are becoming, more common. "
"5,4 ", ,Virtual machines ,"This topic covers hypervisors, virtualization of  
disks and memory, and the use of virtual machines  
in security "
5, ,Industrial control systems ,This topic includes SCADA. 
5, ,Internet of Things (IoT) ,"This topic includes examples such as refrigerators  
and sensors "
5, ,Embedded systems ,"This topic includes examples such as systems in spacecraft, and systems used in other hostile  
environments. 
 "
5, ,Mobile systems ,"This topic includes examples such as laptops and  
smartphones. "
5, ,Autonomous systems ,"This topic includes examples such as robots and  
UAVs that do not require human control. "
5, ,General-purpose systems ,"This topic includes examples such as desktops,  
laptops, and mainframes "
