,Statement Description
1147,Disaster recovery planning
1148, Disaster recovery testing types
1149,Attribute Based Encryption
1150, Key Generation
1151, Cryptography
1152, Distributed Systems
1153,knowledge of network security concepts
1154, understanding of TCP protocol
1155, awareness of packet filtering limitations
1156,Information security concepts
1157, Data management principles
1158, Corporate policies
1159,Public key cryptography
1160, Key pairs
1161,Understanding of common types of cybercrime
1162, Knowledge of web security and online scams
1163,CIA triad
1164, Cryptography principles
1165,Knowledge of Windows security features
1166, Understanding of keyboard shortcuts
1167,Network packet analysis
1168, Troubleshooting
1169, Wireshark
1170, Metasploit
1171, Nmap
1172, Hydra
1173,Knowledge of business operations
1174, Understanding of organizational risk categories
1175,knowledge of web server vulnerabilities
1176, understanding of different types of cyber attacks
1177,knowledge of email security
1178, understanding of encryption
1179, basics of cybersecurity
1180,knowledge of organizational structure
1181, understanding of IT department functions
1182, roles and responsibilities in business management
1183,Automation testing
1184, Human computer interaction
1185, Software tools
1186,malware functionality
1187, operating system basics
1188, software installation processes
1189,Incident response lifecycle phases
1190, Purpose and components of an incident response plan
1191,knowledge of hacker classification systems
1192, understanding of ethical hacking terminology
1193,network scanning techniques
1194, firewall and network security concepts
1195, IP packet structure
1196,Cryptography
1197, Network Security
1198,Operating Systems
1199, Computer Architecture
1200,knowledge of computer security
1201, understanding of buffer overflow attacks
1202, familiarity with memory region attributes
1203, awareness of different security mechanisms
1204,P2P networking concepts
1205, Different types of P2P protocols
1206,knowledge of cybersecurity tools
1207, understanding of SIEM (Security Information and Event Management)
1208, familiarity with log management and analysis
1209, awareness of real time monitoring techniques
1210,Buffer overflow exploits
1211, NOP (No Operation) instruction
1212, Assembly language
1213,Understanding of trade secrets
1214, Understanding of patents
1215, Knowledge of legal protections for intellectual property
1216,Fire suppression systems
1217, Inert gases
1218, Oxygen reduction
1219, Fire extinguishing mechanisms
1220,Risk management concepts
1221, Probability theory
1222, Loss assessment techniques
1223,Knowledge of NIST standards
1224, Understanding of FIPS 180 2
1225, History of cryptographic standards
1226,network security
1227, firewall functionality
1228, authorization mechanisms
1229,domain registration information
1230, contact details
1231, domain name tools
1232,knowledge of physical security concepts
1233, understanding of layered security approach
1234, awareness of access control methods
1235,Understanding of data security concepts
1236, Knowledge of cryptographic techniques
1237, Familiarity with encryption processes
1238, Awareness of cybersecurity practices
1239,Understanding of homeland security
1240, Knowledge of crisis management
1241, Awareness of continuity planning principles
1242,Information security concepts
1243, Security best practices
1244, Internal control systems
1245,ADS B technology
1246, Security vulnerabilities in ADS B
1247, Multilateration (MLAT) technology
1248,intrusion detection systems
1249, network security concepts
1250, unauthorized access
1251, security responses
1252,penetration testing
1253, cybersecurity
1254, social engineering
1255, intrusion detection systems
1256, attack planning
1257,OSI model
1258, Physical layer
1259, Network layer
1260, Data Link layer
1261, Media Access Control (MAC) address
1262,Information Security
1263, Governance
1264, Risk Management
1265, Compliance
1266,penetration testing
1267, organizational security practices
1268, employee roles and responsibilities
1269, senior management decision making
1270,Understanding of cybersecurity principles
1271, Knowledge of defense in depth strategy
1272, Awareness of psychological operations in security
1273, Familiarity with risk management concepts
1274,Knowledge of Rijndael algorithm specifications
1275, Understanding of cryptographic algorithms
1276,  Familiarity with block cipher concepts
1277,AES algorithm
1278, block length
1279, key length
1280,Biometrics
1281, Crossover Error Rate (CER)
1282, False Acceptance Rate (FAR)
1283, False Rejection Rate (FRR)
1284,Virtual Private Network (VPN) fundamentals
1285, Network topology and architecture
1286, Internet connectivity concepts
1287,permutations
1288, rotor systems
1289, displacement sequence
1290,web technology
1291, cookies in web development
1292, user identification on websites
1293,Network security concepts
1294, AAA framework in cybersecurity
1295,Knowledge of cybersecurity concepts
1296, Understanding of authentication methods
1297, Familiarity with security best practices
1298,Knowledge of data protection regulations
1299, Understanding of GDPR
1300,knowledge of access control models
1301, understanding of security labels
1302, clearance levels
1303, object classification
1304,Knowledge of biometric security
1305, Understanding of software based attacks
1306, Awareness of biometric system limitations
1307, Concept of biometric revocation
1308,Understanding of network security concepts
1309, Knowledge of different types of cyber attacks
1310, Familiarity with DDoS terminology
1311,malware types
1312, computer virus characteristics
1313, computer worm characteristics
1314,knowledge of wireless network security
1315, understanding of WPA standards
1316, awareness of wireless intrusion detection systems
1317,Unix security
1318, Linux file system
1319, Unix authentication
1320,knowledge of cryptographic modes of operation
1321, understanding of encryption processes
1322, familiarity with MAC generation
1323,knowledge of proxy servers
1324, understanding of cybersecurity practices
1325, awareness of privacy concerns in networking
1326,Knowledge of cybersecurity practices
1327, Understanding of password management
1328, Awareness of credential compromise risks
1329,Understanding of Google search operators
1330, Knowledge of hidden or special features in Google search
1331, Familiarity with cybersecurity principles
1332, Experience with information gathering techniques
1333,knowledge of network security tools
1334, understanding of IDS and its functions
1335,wireless network security protocols
1336, WEP standards
1337, WPA2 standards
1338, WTLS standards
1339, WAP standards
1340,incident response procedures
1341, volatility in digital forensics
1342, evidence preservation techniques
1343,knowledge of HIPAA Security Rule
1344, understanding of organizational security policies
1345, familiarity with physical security measures
1346, awareness of technical safeguards
1347, comprehension of administrative procedures
1348,TCP handshake process
1349, Network protocols
1350,SMB protocol
1351, TCP/IP
1352, NetBIOS
1353, SMB over TCP
1354,knowledge of cybersecurity
1355, understanding of control systems
1356, proactive vs reactive security measures
1357,Social engineering techniques
1358, Types of social engineering attacks
1359,Business continuity management
1360, IT infrastructure knowledge
1361, Organizational structure understanding
1362,Knowledge of computer security models
1363, Understanding of information flow security concepts
1364,Knowledge of data storage
1365, Understanding of string length
1366, Awareness of buffer size limitations
1367, Concept of buffer overflow
1368,NIST guidelines on cybersecurity
1369, Password management best practices
1370,knowledge of biometric evaluation metrics
1371, understanding of Crossover Error Rate (CER)
1372, awareness of False Rejection Rate (FRR)
1373, biometric device comparison methods
1374,knowledge of deterministic random number generators
1375, understanding of security requirements for random number generation
1376, entropy concepts in cryptography
1377,Knowledge of access control models
1378, Understanding of Mandatory Access Control
1379, Understanding of Discretionary Access Control
1380, Understanding of Non Discretionary Access Control
1381, Understanding of Context Dependent Access Control
1382,X.509 certificates
1383, Authority Revocation List (ARL)
1384, certificate authority (CA)
1385,traceroute functionality
1386, network path determination
1387, data packet transmission time
1388,hash functions
1389, cryptographic security
1390, hash collision
1391,knowledge of networking terminology
1392, understanding of data communication technologies
1393,knowledge of computer network infections
1394, understanding of Storm Worm characteristics
1395, awareness of Command and Control networks
1396,  familiarity with network traffic analysis
1397,Knowledge of cybersecurity terminology
1398,knowledge of authentication methods
1399, understanding of security principles
1400, factors in authentication
1401,Knowledge of cryptographic principles
1402, Understanding of encryption schemes
1403, Familiarity with one time pad characteristics
1404,network security concepts
1405, security devices and controls
1406,knowledge of authentication protocols
1407, understanding of secure token usage in authentication
1408, familiarity with OAuth standards
1409, awareness of SAML and its use cases
1410,knowledge of asset categories in accounting
1411, understanding of tangible vs intangible assets
1412, familiarity with IT facility and hardware costs
1413,x86 assembly language
1414, Intel architecture
1415, NOP instruction
1416, hexadecimal notation
1417,Knowledge of digital forensics
1418, Understanding of file analysis techniques
1419, Familiarity with computer forensic investigations
1420,nmblookup command
1421, NetBIOS over TCP/IP
1422, broadcast address lookup
1423,network security
1424, data integrity concepts
1425, availability assurance methods
1426, security strategies
1427,Wireless networking standards
1428, WEP encryption
1429, WPA encryption
1430, 802.11i standard
1431, TKIP protocol
1432, WPA2 encryption
1433,Public Key Infrastructure (PKI)
1434, Certificate Revocation List (CRL)
1435, Online Certificate Status Protocol (OCSP)
1436,knowledge of dial up access methods
1437, understanding of security mechanisms
1438, familiarity with call back systems
1439,Proxy concepts
1440, Software architecture
1441, Inter system communication
1442,Knowledge of authentication methods
1443, Understanding of identity verification processes
1444,Knowledge of NIST guidelines for cybersecurity
1445, Understanding of password strength and security best practices
1446,software development processes
1447, team collaboration
1448, accountability in software engineering
1449, bug fixing procedures
1450,optical fiber properties
1451, telecommunications fundamentals
1452,Understanding of business continuity concepts
1453, Knowledge of service provider client relationships
1454, Familiarity with contract terms and conditions
1455,network security
1456, perimeter security
1457, physical security
1458,network security
1459, network devices
1460, router functions
1461, switch functions
1462, server roles
1463,Understanding of covert channels
1464, Knowledge of operations security
1465, Awareness of different types of covert channels including storage and timing
1466,knowledge of security controls
1467, understanding of deterrence principles
1468,knowledge of cryptography
1469, understanding of data security
1470, awareness of open public networks risks
1471,knowledge of cryptographic algorithms
1472, specific knowledge about Rijndael
1473,Knowledge of Enigma machine operation
1474, Understanding of substitution cipher principles
1475,Understanding of security principles
1476, Knowledge of access control mechanisms
1477,Windows operating system architecture
1478, Windows security and authentication mechanisms
1479, SAM file and its role in Windows
1480,Understanding of internet privacy
1481, Knowledge of how the Tor network functions
1482, Awareness of online tracking methods
1483,Understanding of U.S. government cybersecurity initiatives
1484, Familiarity with National Information Assurance Framework (NIAF)
1485, Knowledge of international standards for IT security
1486,Business Continuity Management
1487, Disaster Recovery Planning
1488,IDS alert configuration
1489, Email notification setup
1490,intrusion detection systems
1491, network security concepts
1492, cybersecurity fundamentals
1493,Public Key Infrastructure (PKI)
1494, Public Key Cryptography Standards (PKCS)
1495, Information Security Assurance (ISA)
1496, Secure Sockets Layer (SSL)
1497,cybersecurity principles
1498, acceptable use policies
1499, computer security measures
1500,network security protocols
1501, data integrity concepts
1502, authentication methods in networking
1503,Penetration testing
1504, Report distribution security
1505, Vulnerability management
1506, Information security
1507,Access control models
1508, Discretionary Access Control (DAC)
1509, Mandatory Access Control (MAC)
1510, Non discretionary Access Control (NDAC)
1511, Trusted Access Control (TAC)
1512,knowledge of hacking techniques
1513, understanding of network security
1514, awareness of common cyber threats
1515,Understanding of security controls
1516, Knowledge of compensating controls concept
1517, Familiarity with data loss prevention
1518, Awareness of network access control
1519, Experience with additional logging and auditing
1520,Neuro Linguistic Programming
1521, Learning styles
1522,knowledge of cryptographic hash functions
1523, understanding of SHA 512 algorithm
1524, familiarity with hash function rounds and states
1525,Database Management
1526, Relational Database Theory
1527,Knowledge of different types of Intrusion Detection Systems (IDS)
1528, Understanding of host based systems
1529, Understanding of network based systems
1530,knowledge of cryptographic algorithms
1531, understanding of symmetric key cryptography
1532,Knowledge of digital signatures
1533, Understanding of public key infrastructure
1534, Familiarity with encryption and decryption processes
1535,knowledge of digital signature standards
1536, understanding of hashing algorithms
1537, familiarity with DSS specifications
1538,knowledge of different types of policies
1539, understanding of network security concepts
1540, familiarity with workplace policies
1541,IEEE 802 standards
1542, Spanning Tree Protocol (STP)
1543,knowledge of wireless network security protocols
1544, understanding of common authentication mechanisms
1545,Knowledge of IANA functions
1546, Understanding of cybersecurity
1547, Familiarity with internet infrastructure
